           IM.1  EDP.01.mean_x  EDP.02.mean_x  EDP.03.mean_x  EDP.04.mean_x  EDP.05.mean_x  EDP.06.mean_x  EDP.07.mean_x  EDP.08.mean_x  EDP.09.mean_x  EDP.10.mean_x  EDP.11.mean_x  EDP.12.mean_x  EDP.13.mean_x  EDP.14.mean_x  EDP.15.mean_x  EDP.16.mean_x  EDP.17.mean_x  EDP.18.mean_x  EDP.19.mean_x  EDP.20.mean_x  EDP.21.mean_x
        1.09727    2.03475e+05    3.84225e+05    2.14227e+05    3.23063e+05    6.38996e+05    3.17609e+05    1.59281e+05    3.19796e+05    1.48611e+05    3.13659e+05     3.8972e+05    3.11284e+05        64185.7    1.82762e+05        78415.0    1.63805e+05        47753.5        88426.0    1.67389e+05        39108.7        56765.3
        1.11237    2.03515e+05    3.79848e+05    2.14371e+05    3.22983e+05    5.67034e+05     3.1771e+05    1.57547e+05    3.19142e+05    1.49702e+05    3.11408e+05    3.82797e+05    3.10738e+05        65693.9    1.89457e+05        80486.2    1.65878e+05        48704.4        96376.0    1.68835e+05        43301.1        57141.2
        1.12747    2.03869e+05    3.71223e+05     2.1629e+05    3.23598e+05    6.41648e+05    3.18833e+05    1.56227e+05    3.19301e+05    1.50674e+05    3.09867e+05    3.78194e+05    3.09146e+05        67650.7    1.98693e+05        83688.4    1.68114e+05        49376.6    1.04516e+05    1.69947e+05        47894.3        57354.3
        1.14258    2.03926e+05    3.61793e+05    2.18102e+05    3.24173e+05    6.44494e+05    3.19903e+05     1.5489e+05    3.19453e+05    1.51639e+05     3.0826e+05    3.73583e+05     3.0752e+05        69580.3    2.07403e+05        87024.6    1.70439e+05        50055.4    1.12455e+05     1.7111e+05        52701.7        57566.3
        1.15768    2.04574e+05    3.51888e+05     2.1981e+05    3.24706e+05    6.47057e+05     3.2093e+05    1.53539e+05    3.19591e+05    1.52597e+05    3.06618e+05    3.68969e+05    3.05857e+05        71545.8    2.15614e+05        90482.7    1.72875e+05        50742.4    1.20175e+05    1.72324e+05        57158.4        57778.8
        1.17278    2.04925e+05    3.41796e+05     2.2142e+05    3.25186e+05    6.49556e+05    3.21895e+05    1.52174e+05    3.19714e+05    1.53547e+05    3.04941e+05    3.64359e+05    3.04175e+05        73524.6    2.23462e+05        94087.3    1.75429e+05        51437.2    1.27687e+05    1.73589e+05        61795.5        57991.9
        1.18788    2.05272e+05    3.31743e+05    2.22936e+05    3.25466e+05    6.51929e+05    3.22789e+05    1.50796e+05    3.19823e+05     1.5449e+05    3.03226e+05     3.5959e+05    3.02438e+05        75515.1    2.30839e+05        97779.2    1.78051e+05        52140.0    1.34987e+05    1.74903e+05        66415.3        58203.0
        1.20298    2.05837e+05    3.22096e+05    2.25051e+05    3.26969e+05    6.55545e+05     3.2453e+05    1.50495e+05    3.21113e+05    1.55404e+05    3.03726e+05    3.60421e+05    3.02335e+05        77324.8    2.35999e+05    1.01042e+05      1.803e+05        52699.3     1.3928e+05    1.75919e+05        69935.8        59073.3
        1.21808    2.07121e+05    3.13301e+05    2.29912e+05    3.31708e+05    6.64528e+05     3.3003e+05     1.5461e+05    3.26896e+05    1.56249e+05    3.12751e+05    3.83208e+05    3.08754e+05        78372.3     2.3361e+05    1.01925e+05    1.80184e+05        52677.4    1.31924e+05    1.75615e+05        69769.4        62687.5
        1.23318    2.08414e+05    3.04439e+05    2.34746e+05    3.36721e+05    6.72892e+05    3.35191e+05    1.58697e+05    3.32534e+05    1.57134e+05    3.20861e+05    4.05298e+05    3.14733e+05        79421.6    2.31248e+05    1.02824e+05    1.80099e+05        52703.5    1.24194e+05    1.75426e+05        68261.6        66432.0
